Date,Time,"VOC_Sensor {device=""F1"", name=""VOC_data""}","VOC_Sensor {device=""MQ135"", name=""VOC_data""}","VOC_Sensor {device=""MQ138"", name=""VOC_data""}","VOC_Sensor {device=""MQ3"", name=""VOC_data""}","VOC_Sensor {device=""MQ9"", name=""VOC_data""}"
9/21/2022,18:11:40,0,905,3274,3308,1381
9/21/2022,18:12:00,,908,1531,3306,1384
9/21/2022,18:12:20,,907,3218,3291,1386
9/21/2022,18:12:40,,904,3733,3311,1384
9/21/2022,18:13:00,,909,2658,3307,1384
9/21/2022,18:13:20,,915,1838,3315,1391
9/21/2022,18:13:40,,908,2008,3314,1391
9/21/2022,18:14:00,0,884,1964,3319,1389
9/21/2022,18:14:20,,913,3378,3312,1391
9/21/2022,18:14:40,0,911,2194,3308,1390
9/21/2022,18:15:00,,915,2765,3328,1382
9/21/2022,18:15:20,,913,830,3321,1391
9/21/2022,18:15:40,,913,3573,3330,1391
9/21/2022,18:16:00,,915,2149,3334,1392
9/21/2022,18:16:20,,919,2102,3330,1387
9/21/2022,18:16:40,,913,1487,3339,1391
9/21/2022,18:17:00,,910,2104,3333,1395
9/21/2022,18:17:20,,905,2598,3337,1393
9/21/2022,18:17:40,,915,3398,3336,1393
9/21/2022,18:18:00,0,914,3940,3339,1397
9/21/2022,18:18:20,,906,2811,3436,1390
9/21/2022,18:18:40,0,919,1238,3339,1397
9/21/2022,18:19:00,,914,2424,3342,1395
9/21/2022,18:19:20,,917,3209,3349,1396
9/21/2022,18:19:40,,917,2359,3352,1397
9/21/2022,18:20:00,,918,3622,3348,1397
9/21/2022,18:20:20,,893,2088,3351,1400
9/21/2022,18:20:40,,919,1777,3367,1400
9/21/2022,18:21:00,,907,2470,3359,1401
9/21/2022,18:21:20,,916,2639,3354,1402
9/21/2022,18:21:40,,918,2167,3355,1400
9/21/2022,18:22:00,,920,2175,3363,1402
9/21/2022,18:22:20,,921,3107,3379,1399
9/21/2022,18:22:40,,912,2854,3367,1400
9/21/2022,18:23:00,,922,1805,3364,1402
9/21/2022,18:23:20,,992,3250,3375,1400
9/21/2022,18:23:40,0,925,1764,3369,1407
9/21/2022,18:24:00,,920,3456,3376,1400
9/21/2022,18:24:20,,919,2617,3352,1402
9/21/2022,18:24:40,,917,2692,3368,1401
9/21/2022,18:25:00,,920,2456,3374,1398
9/21/2022,18:25:20,,936,2531,3374,1403
